date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:11	316590/316590	---MCZ	200	added ('OK')	text/html	etag:%226337e1f4-4d4ae%22	https://htmldemo.net/sinrato/sinrato/index-3.html	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/index-3.html	(from )
19:44:11	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Apr%202026%2012:44:13%20GMT	https://htmldemo.net/robots.txt		(from )
19:44:12	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%226337e4af-47e%22	https://htmldemo.net/sinrato/sinrato/assets/img/icon/favicon.ico	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/img/icon/favicon.ico	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:12	155805/155805	---MCZ	200	added ('OK')	text/css	etag:%226337e3b3-2609d%22	https://htmldemo.net/sinrato/sinrato/assets/css/bootstrap.min.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/bootstrap.min.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:12	31004/31004	---MCZ	200	added ('OK')	text/css	etag:%226337e3bc-791c%22	https://htmldemo.net/sinrato/sinrato/assets/css/font-awesome.min.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/font-awesome.min.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:12	8898/8898	---MCZ	200	added ('OK')	text/css	etag:%226337e3bd-22c2%22	https://htmldemo.net/sinrato/sinrato/assets/css/linear-icon.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/linear-icon.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:12	112379/112379	---MCZ	200	added ('OK')	text/css	etag:%226337e3c0-1b6fb%22	https://htmldemo.net/sinrato/sinrato/assets/css/plugins.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/plugins.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:13	8144/8144	---MCZ	200	added ('OK')	text/css	etag:%226337e3b9-1fd0%22	https://htmldemo.net/sinrato/sinrato/assets/css/default.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/default.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:13	90922/90922	---MCZ	200	added ('OK')	text/css	etag:%226337e3c3-1632a%22	https://htmldemo.net/sinrato/sinrato/assets/css/style.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/style.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:13	38687/38687	---MCZ	200	added ('OK')	text/css	etag:%226337e3c1-971f%22	https://htmldemo.net/sinrato/sinrato/assets/css/responsive.css	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/css/responsive.css	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:13	8638/8638	---MCZ	200	added ('OK')	application/javascript	etag:%226337e668-21be%22	https://htmldemo.net/sinrato/sinrato/assets/js/vendor/modernizr-3.5.0.min.js	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/assets/js/vendor/modernizr-3.5.0.min.js	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:13	47740/47740	---MCZ	200	added ('OK')	text/html	etag:%226337e2eb-ba7c%22	https://htmldemo.net/sinrato/sinrato/register.html	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/register.html	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
19:44:14	50471/50471	---MCZ	200	added ('OK')	text/html	etag:%226337e22c-c527%22	https://htmldemo.net/sinrato/sinrato/login.html	C:/Users/namde/OneDrive/Desktop/cc/htmldemo.net/sinrato/sinrato/login.html	(from https://htmldemo.net/sinrato/sinrato/index-3.html)
